name,category,phone,quartier,landmark,hours,lat,lng,nightopen,notes
KAWA COFFEE SHOP,FOOD,+237699822828,Bastos,En face Diplomate Hotel,Open · Closes 11:00 PM,3.889,11.512,,"Lattes, sandwiches, desserts."
Café Mich'line,FOOD,+237683244244,,177&,,,,,Traditional café. NO COORDINATES and no hours listed.
The FIFTY FIVE,FOOD,+237693777803,Bastos,0101,Open · Closes 12:00 AM,3.8892,11.5126,,Steakhouse; premium cuts.
The Rooftop Yaoundé,FOOD,+237699782767,Bastos,Rue Joseph Mballa Eloumden,Closed · Opens 5:00 PM,3.887,11.512,,Rooftop; tapas and international.
Le Safoutier Restaurant,FOOD,+237650002929,Centre-Ville,"Hilton Hotel, Bd du 20 Mai",Open · Closes 11:00 PM,3.8654,11.5188,,Buffets and international dining.
La Terrasse,FOOD,+237674882703,Centre-Ville,1147 Rue de Narvik,Open · Closes 11:00 PM,3.8642,11.5195,,"Breakfast, European bistro, coffee."
Complexe le sims,FOOD,+237654488744,Bastos,Bastos,Open 24 hours,3.8895,11.512,,Multi-level dining complex and bar.
Àllo Pizza Mendong,FOOD,+237697559242,Mendong,RFH6+PGG,Closed · Opens 11:30 AM,3.8345,11.478,,Pizza delivery and takeout only.
Bakery Du Secret,FOOD,+237670045773,Mendong,RFJ9+FM8,Open · Closes 12:00 AM,3.8365,11.483,,"Bakery and cafeteria; bread, pastries, sandwiches, coffee."
Boulangerie Cameroon Française,FOOD,+237694705445,Mendong,VF2Q+X9X,Open · Closes 10:00 PM,3.8355,11.4825,,"Baguettes, croissants, daytime snacks."
Boulangerie LOWE MENDONG,FOOD,+237621174087,Mendong,130,Open 24 hours,3.837,11.485,,"Bread, cakes, takeaway snacks, cafeteria meals."
Bakery Le Festin,FOOD,+237222319939,Mendong,Po Box 6993,Open · Closes 9:00 PM,3.8368,11.4845,,Bakery and patisserie; hot drinks.
Raphaëlo Pizza Simbock,FOOD,+237690909076,Simbock,Entrée Simbock,Open · Closes 11:00 PM,3.815,11.476,,"Pizzas, sides, beverages."
Dovv Simbock,GROCERY,+237691090758,Simbock,RFCC+VQR,Open · Closes 11:00 PM,3.82,11.474,,"Supermarket with food section; pastries, hot snacks, deli."
Sims snack bar restaurant,FOOD,+237670503526,Simbock,Simbock axis,,3.8185,11.4725,,Snack bar and diner; grilled items. Hours not listed.
Chez UNKU BOBO,FOOD,+237692775627,Simbock,Carrefour trois Lampadaires,Open 24 hours,3.8115,11.4735,,"Hearty local dishes, fast food, beverages."
Carrefour Des Sœurs Simbock,GROCERY,+237651180645,Simbock,RF7G+W59,,3.812,11.474,,Hypermarket at a crossroads hub. Hours not listed.
Rustick Home - Restaurant Yaoundé,FOOD,+237654028719,Biyem-Assi,"Mnt des Soeurs, VFHM+66W",Open 24 hours,3.84,11.49,,"Comfort food, continental, late-night meals."
THE CANTEEN'S,FOOD,+237699999886,Biyem-Assi,"14589, Biyem-Assi / TKC axis",Closed · Opens 12:00 PM,3.842,11.495,,"CONFLICT: status says opens 12:00 PM, description says serves until 6 AM. Using the status line; confirm by phone."
CFC Cameroon Fried Chicken,FOOD,+237686869636,Biyem-Assi,"VGP4+PCJ, near TKC",Open · Closes 10:00 PM,3.8455,11.496,,"Fried chicken buckets, burgers, fries."
Téfri fast-food : Livraison de repas,FOOD,+237697356499,Melen,"Rue No 1071, 716 Av. Churchill",Open 24 hours,3.848,11.492,,Meal delivery; fast food and local takeaway.
Le Muguet Restaurant-Bar,FOOD,+237672194751,Melen,1819 Rue Charles Bindzi,Closed · Opens 11:30 AM,3.849,11.493,,"Sit-down dinners, local stews, bar."
@Bev's Grill & Cocktail Restaurant,FOOD,+237679960975,Mendong,"Avant carrefour Kaka Street, Montée Jouvence",Open · Closes 10:00 PM,3.834,11.487,,"Roasted meats, cocktails."
Le Click Plus,FOOD,+237690621062,Mendong,Montée Jouvence,Open 24 hours,3.8355,11.488,,"Drinks, fast-food bites, casual meals."
La Fiesta Jouvence,FOOD,+237655430218,Mendong,"049, Jouvence",Open · Closes 11:00 PM,3.8348,11.489,,"Restaurant, VIP catering, event styling."
SUN SET RESORT,FOOD,+237686880639,Mendong,Jouvence,Closed · Opens 2:00 PM,3.836,11.4855,,"Lounge; local dishes, grilled meats."
Mimba box,FOOD,+237657056519,Mendong,Montée Jouvence,Open · Closes 11:00 PM,3.8375,11.4895,,"Fast-food boxes, daily specials."
MBOPPI RESTAURANT,FOOD,+237689388586,Biyem-Assi,Nouvelle route Tam-Tam,Open · Closes 11:30 PM,3.8405,11.492,,"Traditional stews, fufu, lunch plates."
La Frittella,FOOD,+237681250066,Biyem-Assi,"Tam-Tam, en face banque Atlantique",Open · Closes 9:00 PM,3.842,11.4935,,"Fried dough snacks, baked goods, fast-casual."
TAM-TAM WEEK-END,FOOD,+237694256677,Simbock,Tam-Tam,Open · Closes 5:00 PM,3.841,11.494,,"Daytime eatery; local drinks, street food."
TAM'ZOO,FOOD,+237694839692,Biyem-Assi,"Tam-Tam axis, RG2F+GM7",Open · Closes 11:59 PM,3.843,11.4925,,"Resto-bar and lounge; grilled meats, snacks."
Food island lounge,FOOD,+237670320713,Biyem-Assi,Neptune Tam-Tam,Open · Closes 10:30 PM,3.8425,11.4915,,"Local cuisine, fast food, cocktails."
Nouvelle route tam tam,GENERAL_STORE,,Biyem-Assi,"RFHM+CWP, Nouvelle Route Tam-Tam",,3.84,11.4905,,Street-side eatery / store. Hours and phone not listed.
Village happi,FOOD,+237696680705,Biyem-Assi,"237, Tam-Tam axis",Open · Closes 11:30 PM,3.839,11.488,,"Expansive dining, traditional platters."
Délices&Crispy,FOOD,+237698541190,Biyem-Assi,Rond-Point Express,Open · Closes 11:00 PM,3.844,11.498,,"Halal; fried chicken, chips, lunch."
Yunick's Restaurant,FOOD,+237682813289,Biyem-Assi,Rond-Point Express,,3.8438,11.499,,"Traditional dishes, fast-food sides. Hours not listed."
Chips and Chicken Fast Food,FOOD,+237657649882,Melen,Carrefour Lycée de Ngoa-Ekellé,Open · Closes 10:00 PM,3.85,11.5,,"Fried chicken combos, chips, soft drinks."
